nombre_diagnostico|nombre_diagnostico_psiquiatrico
Necesidad de asistencia con cuidado personal|Trastornos esquizoafectivos
Hemorragia intracerebral no traumática, no especificada|Trastornos delirantes
Gota, no especificada|Trastornos delirantes
Trastorno no especificado de la función vestibular, bilateral|Trastornos delirantes
Historia personal de otras neoplasias malignas de tejidos linfáticos, hemopoyéticos y tejidos relacionados|Trastornos delirantes
Problemas en la relación con el cónyuge o pareja|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Aneurisma aórtico abdominal, roto|Esquizofrenia
Otras complicaciones intraoperatorias de aparato circulatorio, no clasificados bajo otro concepto|Esquizofrenia
Infarto agudo de médula espinal (embólico) (no embólico)|Esquizofrenia
Paraplejia, no especificada|Esquizofrenia
Herida abierta no especificada de muslo izquierdo, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Traumatismo no especificado de arteria femoral de pierna izquierda, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Traumatismo de nervio femoral a nivel de cadera y muslo, lado derecho, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Contacto con cuchillo, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome mielodisplásico, no especificado|Trastornos delirantes
Úlcera gástrica, no especificada como aguda ni crónica, sin hemorragia ni perforación|Trastornos delirantes
Cifosis no especificada, localización no especificada|Trastornos delirantes
Trastorno bipolar, episodio actual mixto, grave, con rasgos psicóticos|Otros tipos de esquizofrenia
Hipotiroidismo debido a medicamentos y otras sustancias exógenas|Otros tipos de esquizofrenia
Delirio debido a afección fisiológica conocida|Trastornos esquizoafectivos
Infradosificación de fármacos psicótropos no especificado, contacto inicial|Trastornos esquizoafectivos
Temblor inducido por fármacos|Trastornos esquizoafectivos
Efecto adverso de fármaco psicótropo no especificado, contacto inicial|Trastornos esquizoafectivos
Neumonía por Escherichia coli|Otros tipos de esquizofrenia
Artrosis primaria unilateral, cadera izquierda|Esquizofrenia
Otras anomalías de los hematíes|Esquizofrenia
Desempleo, no especificado|Trastornos esquizoafectivos
Infarto agudo de miocardio con elevación de ST (IAMCEST) (IMEST) (STEMI) con implicación de otra arteria coronaria de cara inferior|Esquizofrenia
Necesidad de asistencia en el hogar sin otro miembro de la familia que pueda prestar cuidados|Otros tipos de esquizofrenia
Carcinoma in situ de colon|Otros tipos de esquizofrenia
Hipertrofia mamaria|Otros tipos de esquizofrenia
Angiodisplasia de colon sin hemorragia|Trastornos delirantes
Trastorno de conducta, no especificado|Trastornos delirantes
Fibrilación paroxística auricular|Trastornos delirantes
Enfermedad renal crónica, estadio 4 (grave)|Trastornos delirantes
Artrosis primaria de rodilla, bilateral|Trastornos delirantes
Otros tipos de espondilosis, región lumbar|Trastornos delirantes
Presencia de válvula cardiaca protésica|Trastornos delirantes
Dependencia de otra sustancia psicoactiva, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de opiáceos, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Problemas relacionados con otras circunstancias legales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno vascular de intestino, no especificado|Otros tipos de esquizofrenia
Fractura de huesos nasales, contacto inicial por fractura cerrada|Esquizofrenia
Fractura de una costilla de lado derecho, contacto inicial por fractura cerrada|Esquizofrenia
Agresión por pelea o lucha sin armas, contacto inicial|Esquizofrenia
Otras entesopatías, no clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otras enfermedades especificadas de ano y recto|Otros tipos de esquizofrenia
Fisura anal, no especificada|Otros tipos de esquizofrenia
Intoxicación alimentaria bacteriana, no especificada|Otros tipos de esquizofrenia
Enfermedad renal crónica, estadio 4 (grave)|Otros tipos de esquizofrenia
Enterococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Dependencia de nicotina no especificada, sin complicaciones|Esquizofrenia
Infección de tracto urinario, localización no especificada|Trastornos esquizoafectivos
Aneurisma aórtico torácico, sin rotura|Trastornos esquizoafectivos
Cálculo de vesícula biliar con colecistitis crónica sin obstrucción|Trastornos esquizoafectivos
Uso prolongado (actual) de anticoagulantes|Trastornos esquizoafectivos
Trastorno mental no especificado debido a afección fisiológica conocida|Trastornos esquizoafectivos
Fibrilación auricular no especificada|Trastornos esquizoafectivos
Aneurisma aórtico abdominal, sin rotura|Trastornos esquizoafectivos
Trastorno adaptativo, no especificado|Trastornos delirantes
Ausencia adquirida de otros órganos|Trastornos delirantes
Obstrucción intestinal posprocedimiento|Otros tipos de esquizofrenia
Ausencia adquirida (de parte) del pulmón|Otros tipos de esquizofrenia
Envenenamiento por fármacos psicótropos no especificados, autolesión intencionada, contacto inicial|Esquizofrenia
Afecciones inflamatorias de los maxilares|Esquizofrenia
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Esquizofrenia
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Esquizofrenia
Hemorragia y hematoma intraoperatorios de un órgano o estructura de aparato digestivo, que complica un procedimiento de aparato digestivo|Esquizofrenia
Neoplasia benigna de colon, no especificada|Esquizofrenia
Neoplasia benigna de recto|Esquizofrenia
Hemorragia posprocedimiento de un órgano o estructura del aparato digestivo después de un procedimiento del aparato digestivo|Esquizofrenia
Gripe debida a otros tipos de virus de la gripe identificados con otras manifestaciones respiratorias|Esquizofrenia
Uso prolongado (actual) de esteroides inhalados|Otros tipos de esquizofrenia
Hepatitis vírica crónica tipo C|Trastorno psicótico breve
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Trastorno psicótico breve
Otros trastornos de personalidad y de conducta debidos a afección fisiológica conocida|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cefalea tensional crónica, no intratable|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Leiomioma de útero, no especificado|Otros tipos de esquizofrenia
Envenenamiento por otros opiáceos, accidental (no intencionado), contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Efecto adverso de glucocorticoides y análogos sintéticos, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia maligna de lóbulo superior, bronquio o pulmón izquierdo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia maligna secundaria de hueso|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Contacto para cuidados paliativos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de otra neoplasia maligna de intestino grueso|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de quimioterapia antineoplásica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Caquexia|Otros tipos de esquizofrenia
Envenenamiento por otros antipsicóticos y neurolépticos, accidental (no intencionado), contacto inicial|Trastornos esquizoafectivos
Trastorno del riñón y del uréter, no especificado|Trastornos esquizoafectivos
Lugar no especificado de residencia no institucional (privada) no especificada, como lugar del acontecimiento de la causa externa|Trastornos esquizoafectivos
Dermatitis seborreica, no especificada|Trastornos esquizoafectivos
Bursitis de hombro izquierdo|Trastornos esquizoafectivos
Efecto adverso de fármacos antiepilépticos e hipnótico-sedantes no especificados, contacto inicial|Trastornos esquizoafectivos
Neoplasia benigna de hipófisis|Trastorno psicótico breve
Amigdalitis aguda, no especificada|Otros tipos de esquizofrenia
Cálculo de conducto biliar sin colangitis ni colecistitis, con obstrucción|Esquizofrenia
Alimento en laringe que produce asfixia, contacto inicial|Esquizofrenia
Historia personal de malformaciones congénitas (corregidas) de la piel, extremidades y aparato musculoesquelético|Trastornos delirantes
Nódulo pulmonar solitario|Otros tipos de esquizofrenia
Demencia vascular, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Otros tipos de esquizofrenia
Consumo de otra sustancia psicoactiva no especificado, con intoxicación y delirio|Otros tipos de esquizofrenia
Historia personal de embolia pulmonar|Otros tipos de esquizofrenia
Contusión de mano no especificada, contacto inicial|Otros tipos de esquizofrenia
Síndrome de Asperger|Otros tipos de esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales complejas, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Neumonía lobar, microorganismo no especificado|Esquizofrenia
Otras alteraciones de la marcha y de la movilidad|Esquizofrenia
Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Diabetes insípida nefrogénica|Esquizofrenia
Efecto adverso de otros antipsicóticos y neurolépticos, contacto inicial|Esquizofrenia
Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea|Trastornos esquizoafectivos
Incumplimiento del paciente con otro tratamiento y régimen médico|Trastorno esquizoide de personalidad
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Trastorno esquizoide de personalidad
Leiomioma de útero, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Carcinoma de conducto biliar intrahepático|Otros tipos de esquizofrenia
Efecto adverso de antipsicóticos y neurolépticos no especificados, secuela|Esquizofrenia
Quiste pilonidal sin absceso|Esquizofrenia
Hiperlipidemia mixta|Esquizofrenia
Acidosis|Trastornos delirantes
Otros tipos de despolarización prematura|Trastornos delirantes
Otros trastornos especificados de vejiga|Trastornos delirantes
Divertículo de vejiga|Trastornos delirantes
Gammapatía monoclonal|Trastornos delirantes
Hemangioma de estructuras intraabdominales|Trastornos delirantes
Otros problemas especificados relacionados con el grupo de apoyo primario|Trastornos delirantes
Neoplasia maligna de lóbulo superior, bronquio o pulmón izquierdo|Esquizofrenia
Neoplasia maligna secundaria de cerebro|Esquizofrenia
Neoplasia maligna secundaria de glándula suprarrenal derecha|Esquizofrenia
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Esquizofrenia
Quiste de riñón, adquirido|Esquizofrenia
Contacto para cuidados paliativos|Esquizofrenia
Hemiplejia no especificada que afecta a lado derecho dominante|Esquizofrenia
Traumatismo, no especificado|Esquizofrenia
Historia personal de otra neoplasia maligna de intestino delgado|Trastornos delirantes
Historia familiar de discapacidad intelectual|Otros tipos de esquizofrenia
Neoplasia lipomatosa benigna de piel y tejido subcutáneo de brazo izquierdo|Esquizofrenia
Quemadura de grado no especificado de cabeza, cara y cuello de localización no especificada, contacto inicial|Esquizofrenia
Lesiones autoinfligidas intencionadamente por otros medios especificados, contacto inicial|Esquizofrenia
Neoplasia benigna de vejiga|Esquizofrenia
Presencia de marcapasos cardíaco|Esquizofrenia
Trastorno de ansiedad, no especificado|Esquizofrenia
Cefalea tensional, no especificada, no intratable|Esquizofrenia
Bloqueo auriculoventricular no especificado|Otros tipos de esquizofrenia
Neumotórax posprocedimiento|Otros tipos de esquizofrenia
Cefalea tensional, no especificada, no intratable|Otros tipos de esquizofrenia
Trastorno de ansiedad, no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de cerebro, no especificada|Otros tipos de esquizofrenia
Presencia de marcapasos cardíaco|Otros tipos de esquizofrenia
Hemorragia gastrointestinal, no especificada|Otros tipos de esquizofrenia
Enfermedad degenerativa del sistema nervioso, no especificada|Otros tipos de esquizofrenia
Estado de extracción de catarata, ojo no especificado|Esquizofrenia
Síncope y colapso|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otra enfermedad cerebrovascular|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia benigna de huesos de cráneo y cara|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de otras neoplasias malignas de piel|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de extracción de catarata, ojo izquierdo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de pólipos colónicos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hiperosmolaridad e hipernatremia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de dependencia a nicotina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad obsesivo-compulsivo|Trastornos delirantes
Otros acontecimientos de la vida que generan estrés en la familia y el hogar|Trastornos delirantes
Síndrome de desgarro-hemorragia gastroesofágico|Otros tipos de esquizofrenia
Fractura de trocánter no especificado de fémur derecho, contacto inicial por fractura cerrada|Esquizofrenia
Enfermedad por reflujo gastroesofágico sin esofagitis|Esquizofrenia
Complicaciones vasculares después de infusión, transfusión e inyección terapéutica, contacto inicial|Otros tipos de esquizofrenia
Kwashiorkor|Otros tipos de esquizofrenia
Artrosis no especificada, localización no especificada|Otros tipos de esquizofrenia
Vitíligo|Otros tipos de esquizofrenia
Historia personal de otras neoplasias malignas de piel|Otros tipos de esquizofrenia
Capacidad intelectual límite|Trastornos delirantes
Neoplasia maligna de lóbulo superior, bronquio o pulmón derecho|Trastorno esquizotípico
Compresión de vena|Trastorno esquizotípico
Paralisis del sueño aislada recurrente|Trastorno esquizotípico
Otros trastornos respiratorios especificados|Trastorno esquizotípico
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastorno esquizotípico
Otros trastornos específicos de personalidad y comportamiento del adulto|Trastorno esquizotípico
Dependencia de nicotina, cigarrillos, sin complicaciones|Trastorno esquizotípico
Dependencia de alcohol, sin complicaciones|Trastorno esquizotípico
Problemas relacionados con vivir solo|Trastorno esquizotípico
Alcalosis|Otros tipos de esquizofrenia
Capacidad intelectual límite|Esquizofrenia
Infradosificación de otros antipsicóticos y neurolépticos, contacto inicial|Esquizofrenia
Pancreatitis aguda biliar|Esquizofrenia
Pancreatitis aguda, no especificada|Esquizofrenia
Dependencia de otra sustancia psicoactiva, sin complicaciones|Otros tipos de esquizofrenia
Estado de ligadura de trompas (de Falopio)|Trastorno psicótico breve
Trastorno límite de personalidad|Trastornos delirantes
Trastornos reumáticos tanto de la válvula mitral como de la aórtica|Esquizofrenia
Otros tipos de espondilosis, región lumbar|Esquizofrenia
Lordosis no especificada, región lumbar|Esquizofrenia
Fractura de parte no especificada del cuello de fémur derecho, contacto inicial por fractura cerrada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de artrodesis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno psicótico con alucinaciones debido a afección fisiológica conocida|Trastornos delirantes
Estado de alergia a contrastes radiográficos|Trastornos delirantes
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Trastornos delirantes
Uso prolongado (actual) de antitrombóticos / antiplaquetarios|Trastornos delirantes
Síncope y colapso|Trastornos delirantes
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Resistencia a antibióticos beta lactámicos no especificados|Trastornos delirantes
Resistencia a penicilinas|Trastornos delirantes
Resistencia a quinolonas y fluoroquinolonas|Trastornos delirantes
Resistencia a otro único tipo de antibiótico especificado|Trastornos delirantes
Fibrosis pulmonar idiopática|Esquizofrenia
Trastorno de personalidad histriónica|Esquizofrenia
Trastorno disociativo y de conversión, no especificado|Esquizofrenia
Enfermedad intersticial pulmonar, no especificada|Esquizofrenia
Trastorno adaptativo con estado de ánimo depresivo|Esquizofrenia
Malnutrición calórico-proteica grave no especificada|Esquizofrenia
Historia familiar de neoplasia maligna de órganos digestivos|Trastornos esquizoafectivos
Neoplasia maligna secundaria de glándula suprarrenal no especificada|Otros tipos de esquizofrenia
Trastorno obsesivo-compulsivo, no especificado|Trastornos delirantes
Contusión de otra parte de la cabeza, contacto inicial|Trastornos delirantes
Urticaria, no especificada|Trastornos delirantes
Epilepsia y otros síndromes epilépticos generalizados, no intratables, sin estado de mal epiléptico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno esquizoide de personalidad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad hepática alcohólica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de alcohol, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de alcohol, en remisión|Trastornos esquizoafectivos
Trastorno esquizoide de personalidad|Trastornos esquizoafectivos
Arteritis, no especificada|Otros tipos de esquizofrenia
Insuficiencia ventricular izquierda, no especificada|Trastornos delirantes
Presencia de angioplastia, injertos y prótesis coronarios|Trastornos delirantes
Consumo de tabaco|Trastornos delirantes
Estado angioplastia vascular periférico con implantes e injertos|Trastornos delirantes
Historia personal de otra neoplasia maligna de bronquios y pulmón|Otros tipos de esquizofrenia
Otros tipos de enfermedades pulmonares intersticiales especificadas|Esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Esquizofrenia
Úlcera crónica no debida a presión en nalga, de gravedad no especificada|Otros tipos de esquizofrenia
Quemadura de grado no especificado de mano no especificada de localización no especificada, secuela|Otros tipos de esquizofrenia
Anemia poshemorrágica aguda|Trastornos delirantes
Hipoxemia|Trastornos delirantes
Aterosclerosis de aorta|Trastornos delirantes
Fractura no especificada de extremo superior de húmero derecho, contacto inicial por fractura cerrada|Trastornos delirantes
Otro cuerpo extraño en vías respiratorias, parte no especificada, que produce otras lesiones, contacto inicial|Trastornos delirantes
Enfermedad de Alzheimer de comienzo tardío|Trastornos delirantes
Diverticulitis de colon sin perforación ni absceso, con hemorragia|Trastornos delirantes
Quistes cerebrales|Trastorno psicótico breve
Problemas relacionados con el empleo no especificados|Trastorno psicótico breve
Familiar dependiente que requiere cuidados en el hogar|Otros tipos de esquizofrenia
Síndrome de respuesta inflamatoria sistémica (SIRS) de origen no infeccioso con disfunción orgánica aguda|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con catarata diabética|Esquizofrenia
Otros tipos de encefalopatía|Esquizofrenia
Historia personal de neoplasia maligna de mama|Esquizofrenia
Historia personal de quimioterapia antineoplásica|Esquizofrenia
Ausencia adquirida de mama y pezón izquierdos|Esquizofrenia
Fibrilación auricular crónica|Esquizofrenia
Portador o sospecha de portador de Staphylococcus aureus resistente a meticilina|Esquizofrenia
Hiperpotasemia|Esquizofrenia
Consumo de otra sustancia psicoactiva, no especificado, con trastorno psicótico con ideas delirantes inducido por sustancias psicoactivas|Otros tipos de esquizofrenia
Trastorno de personalidad histriónica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad narcisista|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad antisocial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad evitativa|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad obsesivo-compulsivo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad dependiente|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Bloqueo auriculoventricular, completo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Paraplejia completa|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estreñimiento, no especificado|Esquizofrenia
Alteración transitoria de conciencia|Esquizofrenia
Fractura por estallido estable de vértebras D11-D12, secuela|Esquizofrenia
Lesiones autoinfligidas intencionadamente al saltar desde un lugar alto, secuela|Esquizofrenia
Leiomioma de útero, no especificado|Esquizofrenia
Parálisis del tercer nervio craneal [oculomotor], ojo no especificado |Otros tipos de esquizofrenia
Diplopía|Otros tipos de esquizofrenia
Quistes cerebrales|Otros tipos de esquizofrenia
Envenenamiento por otros fármacos psicótropos, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Afagia|Otros tipos de esquizofrenia
Enfermedad vascular periférica, no especificada|Otros tipos de esquizofrenia
Pancreatitis aguda, no especificada|Otros tipos de esquizofrenia
Trastorno de arterias y arteriolas, no especificado|Otros tipos de esquizofrenia
Estado de infección asintomática por virus de inmunodeficiencia humana [VIH]|Trastornos esquizoafectivos
Envenenamiento por otros antipsicóticos y neurolépticos, autolesión intencionada, contacto inicial|Trastornos esquizoafectivos
Trastorno del metabolismo de las lipoproteínas, no especificado|Trastornos esquizoafectivos
Trastorno de conversión con síntoma o déficit motor|Trastornos esquizoafectivos
Trastorno de ansiedad, no especificado|Trastornos esquizoafectivos
Enfermedad por virus de la inmunodeficiencia humana [VIH]|Trastornos esquizoafectivos
Otros trastornos mentales especificados debidos a afecciones fisiológicas conocidas|Otros tipos de esquizofrenia
Otra embolia pulmonar sin cor pulmonale agudo|Trastornos delirantes
Distonía, no especificada|Trastornos esquizoafectivos
Otros trastornos del movimiento inducidos por fármacos|Trastornos esquizoafectivos
Linfoma difuso de células B grandes, ganglios linfáticos de localizaciones múltiples|Esquizofrenia
Flebitis y tromboflebitis de vasos profundos no especificados de extremidad inferior no especificada|Esquizofrenia
Malnutrición calórico-proteica moderada|Esquizofrenia
Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada|Esquizofrenia
Gammapatía monoclonal|Esquizofrenia
Tirotoxicosis con bocio multinodular tóxico sin crisis tirotóxica ni tormenta tiroidea|Esquizofrenia
Síndrome de piernas inquietas|Esquizofrenia
Fibrilación auricular crónica|Trastornos esquizoafectivos
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Trastornos esquizoafectivos
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Trastornos esquizoafectivos
Enfermedad renal crónica, estadio 3 (moderada)|Trastornos esquizoafectivos
Sialoadenitis, no especificada|Otros tipos de esquizofrenia
Bronquiolitis aguda debida a otros microorganismos especificados|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con hiperglucemia|Otros tipos de esquizofrenia
Dermatitis peribucal|Otros tipos de esquizofrenia
Insuficiencia (de la válvula) mitral no reumática|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipotiroidismo subclínico por carencia de yodo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Mieloma múltiple, sin haber alcanzado remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diverticulosis de intestino, parte no especificada, sin perforación ni absceso, sin hemorragia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Pólipo rectal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Taquicardia ventricular|Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo medio, bronquio o pulmón |Otros tipos de esquizofrenia
Malnutrición calórico-proteica leve|Trastornos delirantes
Malnutrición calórico-proteica no especificada|Trastornos delirantes
Pielonefritis aguda|Otros tipos de esquizofrenia
Insomnio, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ausencia adquirida de otro (-s) órgano (-s) genital (-es)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de neoplasia maligna de vejiga|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ausencia adquirida de otras partes del tracto urinario|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ausencia adquirida de riñón|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de implantes urogenitales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno por déficit de atención con hiperactividad, tipo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura no especificada de extremo inferior de húmero izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Contusión de rodilla derecha, contacto inicial|Esquizofrenia
Úlcera crónica no debida a presión de parte no especificada de pierna derecha, de gravedad no especificada|Esquizofrenia
Úlcera crónica no debida a presión de parte no especificada de pierna izquierda, de gravedad no especificada|Esquizofrenia
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie derecho, con necrosis de músculo|Trastornos delirantes
Parkinsonismo secundario inducido por otros fármacos|Trastornos delirantes
Problemas en la relación con el cónyuge o pareja|Trastorno psicótico breve
Historia familiar de discapacidad intelectual|Esquizofrenia
Mielopatía en enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otra complicación mecánica de derivación ventricular intracraneal (comunicante), contacto inicial|Otros tipos de esquizofrenia
Fuga de líquido cefalorraquídeo|Otros tipos de esquizofrenia
Envenenamiento por antidepresivos tetracíclicos, accidental (no intencionado), contacto inicial|Trastorno psicótico breve
Estreñimiento, no especificado|Trastorno psicótico breve
Enfermedad cardiaca aterosclerótica de arteria coronaria nativa con angina de pecho inestable|Esquizofrenia
Estenosis (de la válvula) aórtica no reumática|Esquizofrenia
Neumonitis debida a inhalación de alimentos y vómito|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Luxación de prótesis interna de cadera derecha, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otra candidiasis urogenital|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Retención urinaria, no especificada|Esquizofrenia
Presencia de articulación de cadera artificial, no especificada|Esquizofrenia
Fractura no especificada de extremo inferior de fémur izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Leucemia, no especificada, sin haber alcanzado la remisión|Esquizofrenia
Historia familiar de neoplasia maligna de órganos digestivos|Otros tipos de esquizofrenia
Secuelas de poliomielitis|Esquizofrenia
Presbiacusia, bilateral|Trastornos delirantes
Bloqueo de rama derecha no especificado|Trastornos delirantes
Otros tipos de trastornos disociativos y de conversión|Esquizofrenia
Dependencia de alcohol con intoxicación, no especificada|Otros tipos de esquizofrenia
Fractura no especificada de diáfisis de tibia derecha, contacto inicial por fractura cerrada|Esquizofrenia
Fractura no especificada de diáfisis de peroné derecho, contacto inicial por fractura cerrada|Esquizofrenia
Fractura de trocánter no especificado de fémur derecho, contacto inicial por fractura cerrada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección y reacción inflamatoria por (debida a) prótesis interna de articulación no especificada, contacto inicial|Otros tipos de esquizofrenia
Resistencia a múltiples antibióticos|Otros tipos de esquizofrenia
Psoriasis, no especificada|Trastornos delirantes
Temblor esencial|Trastornos esquizoafectivos
Ausencia adquirida de otras partes especificadas del tracto digestivo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cálculo de vesícula y conducto biliar sin colecistitis con obstrucción|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de cuello uterino|Trastornos esquizoafectivos
Neoplasia maligna secundaria de pleura|Otros tipos de esquizofrenia
Apendicitis aguda con peritonitis localizada|Otros tipos de esquizofrenia
Sangrado excesivo en periodo premenopáusico|Esquizofrenia
Pólipo del cuello del útero|Esquizofrenia
Fístula anal|Esquizofrenia
Pólipo anal|Esquizofrenia
Temblor esencial|Esquizofrenia
Trastorno no especificado de la función vestibular, bilateral|Otros tipos de esquizofrenia
Dependencia de alcohol, en remisión|Trastorno psicótico breve
Hemiplejia no especificada que afecta a lado izquierdo no dominante|Esquizofrenia
Abuso de opiáceos, con trastorno psicótico inducido por opiáceos, no especificado|Otros tipos de esquizofrenia
Venas varicosas asintomáticas de extremidad inferior izquierda|Esquizofrenia
Insuficiencia cardiaca, no especificada|Trastornos esquizoafectivos
Historia personal de dependencia a nicotina|Trastornos esquizoafectivos
Dependencia de alcohol, sin complicaciones|Trastornos esquizoafectivos
Miocardiopatía dilatada|Trastornos esquizoafectivos
Historia personal de ataque isquémico transitorio (AIT) e infarto cerebral sin déficits residuales|Trastornos esquizoafectivos
Atelectasia|Trastornos esquizoafectivos
Pérdida de audición no especificada, oído no especificado|Trastornos esquizoafectivos
Fractura no especificada de extremo superior de tibia no especificada, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Psoriasis vulgar|Trastornos delirantes
Absceso de la glándula de Bartolino|Otros tipos de esquizofrenia
